Date,Action,Price
2021-01-05,Buy,286.4700012207
2021-01-06,Sell,263.8999938965
2021-01-08,Buy,309.1000061035
2021-01-15,Sell,273.8099975586
2021-01-19,Buy,292.549987793
2021-02-23,Sell,379.6000061035
2021-03-23,Buy,301.799987793
2021-03-24,Sell,271.8999938965
2021-04-01,Buy,292.700012207
2021-04-23,Sell,332.799987793
2021-04-26,Buy,338.700012207
2021-04-27,Sell,331.799987793
2021-05-24,Buy,281.700012207
2021-07-09,Sell,375.299987793
2021-08-25,Buy,363.200012207
2021-09-14,Sell,372.700012207
2021-10-08,Buy,359.0
2021-11-10,Sell,441.1000061035
2021-12-27,Buy,393.5
2022-01-07,Sell,342.3999938965
2022-01-12,Buy,372.700012207
2022-01-13,Sell,333.200012207
2022-02-02,Buy,290.700012207
2022-02-22,Sell,204.1999969482
2022-03-01,Buy,211.6000061035
2022-03-07,Sell,165.1000061035
2022-03-16,Buy,189.1999969482
2022-04-08,Sell,194.3000030518
2022-05-17,Buy,96.3000030518
2022-06-16,Sell,69.5
2022-06-22,Buy,78.0999984741
2022-08-19,Sell,104.1999969482
2022-10-05,Buy,66.0
2022-10-10,Sell,54.4000015259
2022-10-18,Buy,53.7000007629
2022-11-02,Sell,39.9199981689
2022-11-10,Buy,47.7000007629
2022-12-15,Sell,51.2200012207
2023-01-10,Buy,47.0
2023-02-16,Sell,80.1999969482
2023-03-16,Buy,87.0100021362
2023-04-11,Sell,92.7799987793
2023-05-05,Buy,99.2300033569
2023-06-22,Sell,186.7899932861
2023-07-14,Buy,206.7299957275
2023-07-20,Sell,190.2200012207
2023-08-29,Buy,179.0
2023-09-18,Sell,171.9100036621
2023-10-06,Buy,165.3500061035
2023-10-20,Sell,145.3399963379
2023-11-02,Buy,154.6799926758
2023-12-01,Sell,197.6000061035
2023-12-13,Buy,219.2899932861
2024-01-02,Sell,216.5599975586
2024-01-19,Buy,251.6900024414
2024-02-20,Sell,299.6000061035
2024-02-27,Buy,338.4599914551
2024-02-28,Sell,330.799987793
2024-03-22,Buy,339.4700012207
2024-03-28,Sell,327.0
2024-04-11,Buy,352.6900024414
2024-04-15,Sell,310.3999938965
2024-05-02,Buy,299.9400024414
2024-05-31,Sell,343.0400085449
2024-06-07,Buy,372.5400085449
2024-07-15,Sell,503.8200073242
2024-08-14,Buy,375.950012207
2024-09-03,Sell,346.6300048828
2024-09-12,Buy,388.3099975586
2024-10-24,Sell,443.6799926758
2024-10-29,Buy,471.5199890137
2024-10-31,Sell,423.6000061035
2024-11-07,Buy,523.200012207
2024-11-18,Sell,485.5599975586
